m428  +++$+++  [-0.9875, -0.9987, 0.9987, 0.9982, -0.506, -0.9968, -0.999, 0.4418, 0.954, 0.9971]
m15  +++$+++  [-0.8817, 0.9603, -0.5983, 0.7279, 0.9425, 0.9656, 0.9262, -0.9333, 0.9743, -0.9022]
m288  +++$+++  [-0.5769, 0.9636, 0.9959, 0.9048, 0.9898, 0.9946, -0.9831, -0.9838, 0.9726, 0.9907]
m261  +++$+++  [0.9715, 0.8973, -0.8486, -0.9558, 0.9428, -0.9831, 0.9935, -0.986, -0.9766, -0.5413]
m339  +++$+++  [0.6823, -0.8207, 0.3699, -0.4909, -0.979, -0.9217, -0.9587, 0.8299, -0.534, 0.7536]
m54  +++$+++  [-0.9971, -0.493, -0.9142, 0.9873, 0.9491, 0.9859, 0.973, -0.9218, -0.9615, -0.8974]
m94  +++$+++  [0.9953, 0.9729, 0.9661, 0.9648, 0.9917, 0.997, 0.9986, 0.9877, 0.9972, 0.9945]
m321  +++$+++  [-0.9296, -0.9852, -0.9643, -0.8563, 0.8443, 0.9438, 0.7429, -0.5656, -0.6707, -0.976]
m292  +++$+++  [-0.8413, -0.9685, -0.5885, 0.8888, 0.9043, -0.3902, 0.9816, 0.9854, 0.9866, 0.9937]
m40  +++$+++  [-0.9606, 0.9587, -0.8369, -0.9905, 0.7658, -0.9894, -0.9048, -0.9391, 0.9855, -0.9877]
m249  +++$+++  [-0.7602, 0.8081, 0.9958, 0.9808, -0.8254, 0.9977, 0.9872, -0.7182, 0.9985, 0.9942]
m216  +++$+++  [-0.8841, 0.5045, 0.9895, 0.7272, 0.9799, 0.8461, -0.9956, 0.925, -0.9977, 0.6312]
m612  +++$+++  [-0.9871, 0.4391, -0.9446, 0.8837, 0.9505, -0.9619, -0.4831, -0.9903, -0.7268, 0.5609]
m127  +++$+++  [0.9679, 0.9969, 0.9917, 0.9972, 0.9826, -0.9224, 0.8987, -0.8594, -0.5038, 0.4629]
m115  +++$+++  [0.989, 0.9937, 0.6158, 0.85, -0.8591, -0.3727, -0.6167, 0.9916, 0.9931, 0.9966]
m408  +++$+++  [-0.4912, 0.9158, 0.9964, 0.9798, -0.9223, 0.9909, 0.9989, 0.998, 0.9873, 0.9985]
m328  +++$+++  [0.966, 0.945, -0.9875, -0.9427, 0.7364, 0.977, 0.9222, 0.8123, 0.9619, -0.9886]
m244  +++$+++  [0.9992, 0.9995, 0.9991, 0.9188, 0.9987, 0.9981, 0.983, 0.9725, 0.9503, 0.9976]
m303  +++$+++  [0.8243, -0.9952, 0.7105, -0.9395, -0.9297, -0.6727, 0.9913, -0.9114, -0.9641, 0.7137]
m551  +++$+++  [-0.8837, 0.9838, 0.9714, -0.9416, 0.9794, 0.958, 0.8849, -0.941, -0.9866, -0.6068]
m8  +++$+++  [-0.4883, 0.8159, 0.8836, -0.9946, -0.9435, -0.9168, 0.579, 0.8731, -0.9868, 0.755]
m406  +++$+++  [0.8762, 0.7386, 0.8176, 0.4215, -0.0516, 0.2732, -0.3049, 0.5007, 0.4378, 0.4357]
m138  +++$+++  [0.8051, -0.5057, 0.8146, 0.8939, 0.6136, 0.5703, 0.8883, 0.7926, 0.4434, 0.9799]
m102  +++$+++  [0.9735, -0.6135, 0.9836, 0.7061, 0.9983, 0.9975, 0.9969, 0.9924, 0.9429, -0.9311]
m358  +++$+++  [-0.4806, 0.9692, -0.9486, 0.9919, -0.9487, 0.3223, 0.9947, -0.9812, -0.9884, -0.9951]
m489  +++$+++  [0.9713, 0.8958, -0.5529, 0.9513, 0.9843, 0.9842, 0.9388, 0.8753, -0.7201, 0.9453]
m7  +++$+++  [-0.657, 0.9782, 0.2815, -0.9625, -0.9716, -0.985, -0.9437, -0.7185, -0.9333, 0.7748]
m189  +++$+++  [-0.9887, -0.8442, 0.9793, 0.8789, -0.7545, 0.9774, -0.9917, 0.9807, -0.7677, 0.9683]
m227  +++$+++  [0.4073, 0.9622, 0.955, 0.925, 0.8288, -0.7857, -0.9288, -0.89, -0.8144, 0.9443]
m260  +++$+++  [-0.8092, 0.8443, -0.75, 0.79, 0.9824, 0.9832, 0.5878, 0.9969, 0.9734, -0.9945]
m62  +++$+++  [0.9968, -0.92, 0.9962, -0.9295, 0.7175, -0.9786, 0.9425, 0.9806, 0.9967, 0.9814]
m174  +++$+++  [0.9832, 0.9985, 0.9856, 0.9745, 0.9961, 0.9891, -0.9916, 0.9637, 0.9913, -0.9179]
