m156  +++$+++  [-0.9448, 0.884, 0.9779, 0.6713, 0.9712, -0.7643, 0.9667, -0.9967, -0.9751, 0.9459, -0.9984, -0.9864]
m505  +++$+++  [-0.995, -0.9907, 0.7149, -0.9971, -0.8807, 0.9535, 0.9874, -0.9902, -0.8936, -0.9897, 0.8153, -0.9864]
m181  +++$+++  [0.9525, 0.3931, 0.8977, 0.994, 0.9636, 0.9872, 0.9976, 0.9962, 0.9975, 0.9973, -0.8627, 0.94]
m103  +++$+++  [0.9969, 0.9851, 0.995, 0.9979, 0.9823, 0.9972, 0.8121, 0.985, 0.9959, 0.9965, 0.9983, 0.9985]
m86  +++$+++  [-0.9892, -0.9193, 0.5274, -0.9263, -0.9722, 0.3616, 0.4291, 0.6935, -0.9162, 0.9916, -0.5485, -0.735]
m125  +++$+++  [-0.3295, 0.9562, -0.8804, 0.9514, 0.9935, 0.943, -0.9616, -0.7923, 0.956, 0.799, 0.8303, -0.8242]
m55  +++$+++  [0.9614, 0.9869, 0.9919, 0.9948, -0.9726, 0.9945, 0.9958, 0.9991, 0.9904, 0.997, 0.9992, 0.9951]
m350  +++$+++  [-0.8962, 0.7372, 0.852, 0.9607, -0.9091, -0.9755, -0.6381, 0.5718, -0.8849, 0.9499, -0.8353, -0.8288]
m194  +++$+++  [0.9957, 0.9581, -0.9265, 0.9817, 0.9859, 0.9761, -0.7655, 0.9922, 0.9322, 0.9828, 0.9937, 0.971]
m530  +++$+++  [0.9799, 0.8339, 0.9984, 0.9218, 0.9971, 0.9835, 0.9887, 0.8419, 0.529, -0.9596, -0.9916, 0.8878]
m11  +++$+++  [0.4976, 0.7033, 0.9436, 0.9013, -0.9065, 0.93, 0.8326, -0.9392, 0.3946, -0.9133, 0.8778, -0.9554]
m423  +++$+++  [-0.9623, -0.9529, -0.7762, -0.9715, 0.9692, -0.9427, 0.9854, 0.9703, -0.7392, 0.9474, 0.9753, 0.9328]
m242  +++$+++  [-0.6223, 0.8969, 0.9818, 0.8319, 0.9053, 0.9585, 0.5679, 0.9536, -0.7621, 0.9423, -0.9777, 0.8062]
m446  +++$+++  [0.9945, 0.9898, 0.9939, 0.9077, 0.9414, 0.9651, 0.9656, 0.9404, 0.997, 0.4069, 0.9956, 0.7903]
m188  +++$+++  [-0.9113, 0.6382, 0.9848, -0.9099, -0.9774, -0.8947, 0.9799, 0.5938, 0.9287, 0.9806, -0.7606, -0.5417]
m417  +++$+++  [-0.8351, 0.9862, -0.9825, -0.9433, -0.8294, -0.9903, 0.9866, 0.89, 0.9111, 0.9773, 0.996, -0.9672]
m610  +++$+++  [0.9885, -0.9694, -0.9908, -0.9417, 0.9946, -0.9741, 0.9621, 0.9881, 0.8559, 0.9868, 0.989, 0.9234]
m517  +++$+++  [0.9836, 0.9871, -0.8646, 0.8281, -0.8076, -0.8221, -0.936, -0.6967, 0.9746, -0.724, -0.9321, -0.9433]
m560  +++$+++  [-0.9889, -0.9812, -0.4707, -0.9384, -0.9392, -0.9891, -0.9938, 0.9371, 0.3185, 0.7673, -0.9939, -0.9812]
m223  +++$+++  [-0.9316, -0.9907, -0.9407, 0.8597, -0.9937, -0.969, -0.9769, -0.9708, 0.9749, 0.8571, -0.9922, 0.7951]
m39  +++$+++  [-0.3669, -0.8963, -0.9835, -0.9824, -0.9623, -0.8594, -0.9878, -0.9667, -0.7936, -0.9639, 0.9828, 0.9488]
m21  +++$+++  [0.9863, 0.8992, 0.9846, 0.9365, -0.5773, 0.9552, 0.9546, 0.914, -0.8031, 0.9969, 0.8938, 0.9761]
m396  +++$+++  [-0.9464, 0.9826, 0.8984, 0.9621, 0.9937, 0.9198, -0.9237, -0.9686, 0.9734, 0.9546, 0.6024, -0.9976]
m199  +++$+++  [0.7835, -0.8757, -0.9526, 0.9488, 0.9318, 0.9915, 0.9955, -0.9674, 0.9844, -0.8607, 0.7837, 0.9799]
m407  +++$+++  [0.8738, -0.8986, -0.2564, 0.9928, 0.7143, -0.9901, -0.9695, -0.9874, -0.6768, -0.9704, 0.7961, 0.9716]
m410  +++$+++  [-0.9261, 0.82, 0.7559, 0.9814, 0.8942, -0.958, -0.7198, -0.9614, -0.9464, -0.7306, -0.9885, -0.9549]
m506  +++$+++  [0.9407, -0.8227, -0.9883, -0.9918, -0.9276, -0.9981, -0.9988, -0.9961, -0.6775, -0.9658, 0.945, -0.9964]
m380  +++$+++  [0.9993, 0.9993, 0.9988, 0.9989, 0.9969, 0.9934, 0.9889, 0.9109, 0.9975, 0.9822, 0.998, 0.9996]
m490  +++$+++  [0.9783, 0.9178, 0.9817, 0.8288, 0.9886, 0.995, 0.9707, 0.9851, -0.097, 0.9532, 0.3778, 0.9868]
m13  +++$+++  [0.8452, 0.9942, 0.9102, 0.5753, -0.8383, 0.9053, 0.7919, 0.895, 0.92, 0.9721, 0.6467, 0.98]
m371  +++$+++  [-0.9465, 0.34, -0.8243, -0.8099, -0.9885, -0.9224, 0.989, 0.9928, 0.8772, -0.9227, -0.9874, 0.9599]
